nombre,zona,barrio_localidad,contacto,estado,notas
Belephant Cowork,CABA,Belgrano / Recoleta,@belephant.cowork,contactado,Abierto 24/7. Sedes Ciudad de la Paz 1042 y Beruti 2770
Ronda Coworking,CABA,Belgrano / Recoleta,@rondacoworking,contactado,Casas con patio y terraza. After office y yoga
Coreworks,CABA,Palermo,@coreworks.ar,contactado,
Join Coworking,CABA,Palermo,@joincoworking,contactado,
Working&Co,CABA,Palermo / Villa Crespo / Belgrano,@workingand.co,contactado,7 sedes
La Maquinita Co,CABA,varias sedes,@lamaquinitaco,contactado,Red mas grande de Argentina. Pet friendly
AreaTres,CABA,Palermo,@areatres,contactado,
Manawa Coworking,CABA,Palermo,@manawacoworking,contactado,
Huerta Coworking,CABA,Villa Crespo,@huertacoworking,contactado,
Urban Station,CABA,Palermo,@urbanstation,contactado,Cadena. Plan por hora y mensual
Conecta Coworking,CABA,Colegiales / Belgrano,@coworkingconecta,contactado,Cerca de bicisenda y Subte D
Usina Cowork,CABA / Zona Norte,Chacarita / San Isidro,@usinacowork,contactado,Jardin estilo bosque. Auditorio
HIT Cowork,CABA,varias sedes,@hitcowork,contactado,8 sedes (Belgrano Nunez Palermo Recoleta Parque Patricios)
Joy Cowork,CABA,Palermo,@joycowork,contactado,
Urbana Vicente Lopez,Zona Norte,Vicente Lopez,@urbanavicentelopez,contactado,Mayor centro empresarial de Zona Norte
Music Hub,CABA,Palermo,@musichub.ar,contactado,Espacio para musicos/creativos
People Coworking,CABA,Caballito,@peoplecoworking,nuevo,
Bresca CoWork,CABA,Recoleta,@bresca_cowork,nuevo,
Cafe.te,CABA,Villa Crespo,@cafe.te.coworking,nuevo,Cafe-coworking silencioso
Cescohaus,CABA,Colegiales,cescohaus.com,nuevo,Reconfirmar IG
Cespedes Coworking,CABA,Colegiales,@cespedescoworking,nuevo,Reconfirmar IG
Nave Coworking,CABA,Parque Patricios,@navecoworking,nuevo,Distrito Tecnologico
Espacio Centenario,CABA,Caballito,@espaciocentenario,nuevo,Reconfirmar IG
Indie Coworking,CABA,Palermo,indiecoworking.com.ar,nuevo,Reconfirmar IG
Inside Cowork,CABA,Belgrano (Cabildo/Juramento),espacioinside.com.ar,nuevo,Reconfirmar IG
Coworking Urquiza,CABA,Villa Urquiza,@coworkingu,nuevo,
Cafe Flor,CABA,Palermo,@cafeflor,nuevo,Cafe-coworking. Reconfirmar IG
Mooi Coworking,CABA,Belgrano / Caballito,@mooicoworking,nuevo,2 sucursales
Tendency Coworking,CABA,Palermo,@tendencycoworking,nuevo,Reconfirmar IG
Estudio Te Cafe,CABA,Villa Crespo,@estudiote,nuevo,Cafe para trabajo remoto. Reconfirmar IG
Walden Cafe,CABA,Villa Crespo,@waldencafe,nuevo,Gurruchaga 1195. Cafe remoto
Usina Cafetera,CABA,Belgrano / Recoleta / Villa Urquiza,@usinacafetera,nuevo,Varias sedes cafe-coworking
La Maquinita - Palermo,CABA,Palermo,@lamaquinitaco,contactado,Sede (misma marca)
La Maquinita - Nunez,CABA,Nunez,@lamaquinitaco,contactado,Sede
La Maquinita - Catalinas,CABA,Retiro/Catalinas,@lamaquinitaco,contactado,Sede
La Maquinita - Libertador,Zona Norte,Vicente Lopez,@lamaquinitaco,contactado,Sede +1000 m2
WeWork Corrientes,CABA,Microcentro,wework.com,nuevo,Corrientes 800
WeWork Butty,CABA,Retiro,wework.com,nuevo,Butty 275
WeWork Libertador,Zona Norte,Vicente Lopez,wework.com,nuevo,Libertador 1000
WeWork Olivos,Zona Norte,Olivos,wework.com,nuevo,
Regus Retiro,CABA,Retiro,regus.com,nuevo,Cadena internacional
Regus Microcentro,CABA,Microcentro,regus.com,nuevo,
Regus Puerto Madero,CABA,Puerto Madero,regus.com,nuevo,
Spaces Palermo,CABA,Palermo,spacesworks.com,nuevo,Cadena (grupo Regus)
Spaces San Isidro,Zona Norte,San Isidro,spacesworks.com,nuevo,
HIT Canitas,CABA,Las Canitas,@hitcowork,contactado,Sede
HIT La Pampa,CABA,Belgrano,@hitcowork,contactado,Sede La Pampa 1391
HIT Migueletes,CABA,Belgrano,@hitcowork,contactado,Sede Migueletes 2423
HIT Recoleta,CABA,Recoleta,@hitcowork,contactado,Sede Beruti
HIT Parque Patricios,CABA,Parque Patricios,@hitcowork,contactado,Sede tecno
HIT Palermo Ola,CABA,Palermo,@hitcowork,contactado,Sede Polo/Ola
HIT Arguibel,CABA,Las Canitas,@hitcowork,contactado,Sede Arguibel
Tigerlabs Coworking,Zona Norte,Tigre,@tigerlabscoworking,nuevo,
Office Club,Zona Norte,Vicente Lopez,officeclub.com.ar,nuevo,
HQ Vicente Lopez,Zona Norte,Vicente Lopez,@hq.arg,nuevo,Libertador 101 P10
HQ Olivos,Zona Norte,Olivos,@hq.arg,nuevo,
HQ San Isidro,Zona Norte,San Isidro,@hq.arg,nuevo,
Espacio453,Zona Norte,San Isidro,@espacio_453,nuevo,
MiO Coworking,Zona Norte,Boulogne / San Isidro,@miocoworking,nuevo,Tambien Microcentro
La Comu Cowork,Zona Norte,Olivos,@lacomucowork,nuevo,
Circular Cowork,Zona Norte,Nordelta,@circularcowork,nuevo,
Bluelephant,Zona Norte,Nordelta,@bluelephant.nordelta,nuevo,Reconfirmar IG
Widu Coworking,Zona Norte,Pilar,@widucoworking,nuevo,Reconfirmar IG
Zona Norte Coworking,Zona Norte,San Fernando,@zonanorte.coworking,nuevo,
Espacio Goji,Zona Norte,San Isidro,@espaciogoji,nuevo,Reconfirmar IG
Despachos Vicente,Zona Norte,Vicente Lopez,@despachosvicente,nuevo,Reconfirmar IG
Torrepueblo,Zona Norte,Benavidez / Tigre,@torrepueblo,nuevo,Reconfirmar IG
Maschwitz Mall Coworking,Zona Norte,Ingeniero Maschwitz / Escobar,@maschwitzmall,nuevo,Reconfirmar IG
Regus La Lucila,Zona Norte,La Lucila,regus.com,nuevo,
Regus San Fernando,Zona Norte,San Fernando,regus.com,nuevo,
WeWork Blas Parera,Zona Norte,Martinez,wework.com,nuevo,Blas Parera 3551
LA OFI Coworking,Zona Oeste,Ramos Mejia / Ituzaingo,@laoficoworking,nuevo,3 pisos en shopping Ramos Mejia
DOERS Coworking,Zona Oeste,Ramos Mejia,@somosdoers,nuevo,
Espacio Jonte,Zona Oeste,Castelar,@espaciojonte,nuevo,Curutchet 3185. 8 oficinas
Coworking Municipal Ituzaingo,Zona Oeste,Ituzaingo,miituzaingo.gov.ar,nuevo,Espacio municipal Fragio 183
Rejunta Coworking,Zona Sur,Quilmes,@rejunta.coworking,nuevo,Oficinas 3-8 personas + sala 40
Quilmes Office,Zona Sur,Quilmes,@quilmesoffice,nuevo,300 m2 pet friendly
Bambu Coworking,Zona Sur,Banfield,@bambucoworking,nuevo,Primer coworking de Zona Sur. Terraza y jardin
